trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
77,False,"{'a': 0.5, 'e': 0.6149999999999997}",25,11,-1.6006228362294026,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
78,False,"{'a': 0.5, 'e': 0.6099999999999997}",20,0,-34.915063763464104,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 0}",0
79,False,"{'a': 0.5, 'e': 0.6049999999999996}",20,9,4.1653440099781545,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
80,False,"{'a': 0.5, 'e': 0.5999999999999996}",30,5,-64.3576592387785,"{0: 18, 1: 1, 2: 5, 3: 0, 4: 1}",1
81,False,"{'a': 0.5, 'e': 0.5949999999999996}",20,16,7.9197049423236345,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
82,False,"{'a': 0.5, 'e': 0.5899999999999996}",20,12,-92.52436096083008,"{0: 4, 1: 0, 2: 2, 3: 0, 4: 2}",1
83,False,"{'a': 0.5, 'e': 0.5849999999999996}",25,0,-173.05122185835847,"{0: 15, 1: 2, 2: 4, 3: 1, 4: 3}",0
84,False,"{'a': 0.5, 'e': 0.5799999999999996}",20,0,-26.44721532153073,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
85,False,"{'a': 0.5, 'e': 0.5749999999999996}",25,7,-9.80493936413656,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 0}",1
86,False,"{'a': 0.5, 'e': 0.5699999999999996}",25,0,-121.04058375476217,"{0: 18, 1: 2, 2: 2, 3: 0, 4: 3}",0
87,False,"{'a': 0.5, 'e': 0.5649999999999996}",30,0,-84.40922019502868,"{0: 24, 1: 0, 2: 4, 3: 0, 4: 2}",0
88,False,"{'a': 0.5, 'e': 0.5599999999999996}",25,5,-76.26611183745598,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",1
89,False,"{'a': 0.5, 'e': 0.5549999999999996}",25,5,-125.29545406861403,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 3}",1
90,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,3,-48.252054340187996,"{0: 13, 1: 1, 2: 0, 3: 3, 4: 0}",1
91,False,"{'a': 0.5, 'e': 0.5449999999999996}",25,0,-53.057563033933185,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
92,False,"{'a': 0.5, 'e': 0.5399999999999996}",20,13,1.8996669112317985,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
93,False,"{'a': 0.5, 'e': 0.5349999999999996}",25,6,3.266734821189812,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 0}",1
94,False,"{'a': 0.5, 'e': 0.5299999999999996}",30,0,-81.82927847369841,"{0: 19, 1: 0, 2: 11, 3: 0, 4: 0}",0
95,False,"{'a': 0.5, 'e': 0.5249999999999996}",20,2,-51.26326966396957,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 1}",1
96,False,"{'a': 0.5, 'e': 0.5199999999999996}",25,0,-6.03360164257483,"{0: 21, 1: 2, 2: 2, 3: 0, 4: 0}",0
97,False,"{'a': 0.5, 'e': 0.5149999999999996}",25,16,15.234125960666796,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
98,False,"{'a': 0.5, 'e': 0.5099999999999996}",20,8,2.2014299884147803,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
